Date,Adj Close,Close,High,Low,Open,Volume,Body,Range,Upper_Wick,Lower_Wick,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio
2020-01-01,672.2161254882812,690.1383056640625,698.1387329101562,688.2639770507812,693.978515625,14004468,3.8402099609375,9.874755859375,4.16021728515625,1.87432861328125,0.388891635968057,0.4212982421440403,0.1898101218879027
2020-01-02,683.6602783203125,701.8875122070312,704.4705200195312,691.2355346679688,691.2355346679688,17710316,10.6519775390625,13.2349853515625,2.5830078125,0.0,0.8048348567159499,0.19516514328405013,0.0
2020-01-03,684.484130859375,702.7332763671875,704.79052734375,696.2643432617188,700.8359985351562,20984698,1.89727783203125,8.52618408203125,2.0572509765625,4.5716552734375,0.22252367692010336,0.24128624913202523,0.5361900739478714
2020-01-06,668.6093139648438,686.435302734375,698.5044555664062,684.835205078125,694.8928833007812,24519177,8.45758056640625,13.66925048828125,3.611572265625,1.60009765625,0.618730381278549,0.26421143344481307,0.11705818527663793
2020-01-07,678.8956298828125,696.995849609375,701.5217895507812,691.9212646484375,694.4356689453125,16683622,2.5601806640625,9.60052490234375,4.52593994140625,2.514404296875,0.266670904987444,0.4714263008995836,0.26190279411297246
2020-01-08,673.7970581054688,691.7612915039062,701.4989013671875,690.3212280273438,692.6070556640625,16047902,0.84576416015625,11.17767333984375,8.891845703125,1.4400634765625,0.07566549266934229,0.7955005869986622,0.12883392033199553
2020-01-09,689.3154907226562,707.6935424804688,708.6078491210938,700.0360107421875,703.3961791992188,14982742,4.29736328125,8.57183837890625,0.914306640625,3.36016845703125,0.5013350802116191,0.10666400837362308,0.3920009114147578
2020-01-10,689.1595458984375,707.5335083007812,712.2423095703125,703.8761596679688,709.4764404296875,12478359,1.94293212890625,8.36614990234375,2.765869140625,3.6573486328125,0.23223730767266598,0.33060238854316376,0.43716030378417026
2020-01-13,687.4006958007812,705.7277221679688,712.585205078125,703.3047485351562,706.3449096679688,18282382,0.6171875,9.28045654296875,6.24029541015625,2.4229736328125,0.06650400194671524,0.6724125457905571,0.2610834522627276
2020-01-14,681.032958984375,699.1902465820312,708.6078491210938,695.7386474609375,704.0361938476562,15816535,4.845947265625,12.86920166015625,4.5716552734375,3.45159912109375,0.3765538371061755,0.3552400058809859,0.26820615701283856
2020-01-15,678.5616455078125,696.6529541015625,703.990478515625,694.0928344726562,702.1389770507812,15817859,5.48602294921875,9.89764404296875,1.85150146484375,2.56011962890625,0.554275636242546,0.18706486683152138,0.25865949692593254
2020-01-16,684.8180541992188,703.0761108398438,705.5676879882812,698.5501708984375,699.0073852539062,12847975,4.0687255859375,7.01751708984375,2.4915771484375,0.45721435546875,0.5797956077408132,0.3550510980647967,0.06515329419439009
