Open,High,Low,Close,Volume,Body,Range,Upper_Wick,Lower_Wick,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio,Open_1,High_1,Low_1,Close_1,Body_1,Range_1,Upper_Wick_1,Lower_Wick_1,Body_Ratio_1,Upper_Wick_Ratio_1,Lower_Wick_Ratio_1,Open_2,High_2,Low_2,Close_2,Body_2,Range_2,Upper_Wick_2,Lower_Wick_2,Body_Ratio_2,Upper_Wick_Ratio_2,Lower_Wick_Ratio_2,Trend_Encoded,Market_Control_Encoded,HTF_Bias_Encoded,Trend_Reversal_Encoded,Reversal_Confirmed_Encoded,Hammer,Inverted_Hammer,Doji,Bullish_Engulfing,Bearish_Engulfing,Shooting_Star,Morning_Star,Evening_Star
673.89,683.19,669.31,676.54,24746565,2.65,13.88,6.65,4.58,0.1909,0.4791,0.33,689.68,690.32,669.11,672.83,16.85,21.21,0.64,3.72,0.7944,0.0302,0.1754,692.56,696.93,688.04,688.74,3.82,8.89,4.37,0.7,0.4297,0.4916,0.0787,0,0,1,0,0,0,0,0,0,0,0,0,0
676.15,676.47,658.32,660.03,22402689,16.12,18.15,0.32,1.71,0.8882,0.0176,0.0942,673.89,683.19,669.31,676.54,2.65,13.88,6.65,4.58,0.1909,0.4791,0.33,689.68,690.32,669.11,672.83,16.85,21.21,0.64,3.72,0.7944,0.0302,0.1754,0,0,1,0,0,0,0,0,0,0,0,0,0
664.26,664.38,643.32,645.36,34750310,18.9,21.06,0.12,2.04,0.8974,0.0057,0.0969,676.15,676.47,658.32,660.03,16.12,18.15,0.32,1.71,0.8882,0.0176,0.0942,673.89,683.19,669.31,676.54,2.65,13.88,6.65,4.58,0.1909,0.4791,0.33,0,0,-1,0,0,0,0,0,0,0,0,0,0
626.27,640.01,623.14,633.4,30712290,7.13,16.87,6.61,3.13,0.4226,0.3918,0.1855,664.26,664.38,643.32,645.36,18.9,21.06,0.12,2.04,0.8974,0.0057,0.0969,676.15,676.47,658.32,660.03,16.12,18.15,0.32,1.71,0.8882,0.0176,0.0942,0,0,-1,0,0,0,0,0,0,0,0,0,0
640.03,654.89,639.03,652.1,25383901,12.07,15.86,2.79,1.0,0.761,0.1759,0.0631,626.27,640.01,623.14,633.4,7.13,16.87,6.61,3.13,0.4226,0.3918,0.1855,664.26,664.38,643.32,645.36,18.9,21.06,0.12,2.04,0.8974,0.0057,0.0969,0,0,-1,0,0,0,0,0,0,0,0,1,0
655.99,664.17,653.89,662.21,18472100,6.22,10.28,1.96,2.1,0.6051,0.1907,0.2043,640.03,654.89,639.03,652.1,12.07,15.86,2.79,1.0,0.761,0.1759,0.0631,626.27,640.01,623.14,633.4,7.13,16.87,6.61,3.13,0.4226,0.3918,0.1855,0,0,-1,0,0,0,0,0,0,0,0,0,0
664.77,670.66,658.37,666.46,15538577,1.69,12.29,4.2,6.4,0.1375,0.3417,0.5207,655.99,664.17,653.89,662.21,6.22,10.28,1.96,2.1,0.6051,0.1907,0.2043,640.03,654.89,639.03,652.1,12.07,15.86,2.79,1.0,0.761,0.1759,0.0631,0,0,-1,0,0,0,0,0,0,0,0,0,0
663.35,663.97,652.97,655.42,12209212,7.93,11.0,0.62,2.45,0.7209,0.0564,0.2227,664.77,670.66,658.37,666.46,1.69,12.29,4.2,6.4,0.1375,0.3417,0.5207,655.99,664.17,653.89,662.21,6.22,10.28,1.96,2.1,0.6051,0.1907,0.2043,0,0,-1,0,0,0,0,0,0,0,0,0,1
652.83,660.83,644.81,656.31,15142476,3.48,16.02,4.52,8.02,0.2172,0.2821,0.5006,663.35,663.97,652.97,655.42,7.93,11.0,0.62,2.45,0.7209,0.0564,0.2227,664.77,670.66,658.37,666.46,1.69,12.29,4.2,6.4,0.1375,0.3417,0.5207,0,0,-1,0,0,0,0,0,0,0,0,0,0
661.7,670.3,660.63,664.15,13999816,2.45,9.67,6.15,1.07,0.2534,0.636,0.1107,652.83,660.83,644.81,656.31,3.48,16.02,4.52,8.02,0.2172,0.2821,0.5006,663.35,663.97,652.97,655.42,7.93,11.0,0.62,2.45,0.7209,0.0564,0.2227,0,0,-1,0,0,0,1,0,0,0,1,1,0
665.7,674.25,665.18,672.17,13533565,6.47,9.07,2.08,0.52,0.7133,0.2293,0.0573,661.7,670.3,660.63,664.15,2.45,9.67,6.15,1.07,0.2534,0.636,0.1107,652.83,660.83,644.81,656.31,3.48,16.02,4.52,8.02,0.2172,0.2821,0.5006,0,0,-1,0,0,0,0,0,0,0,0,0,0
675.58,675.58,668.65,673.93,13565659,1.65,6.93,0.0,5.28,0.2381,0.0,0.7619,665.7,674.25,665.18,672.17,6.47,9.07,2.08,0.52,0.7133,0.2293,0.0573,661.7,670.3,660.63,664.15,2.45,9.67,6.15,1.07,0.2534,0.636,0.1107,0,0,-1,0,0,1,0,0,0,0,0,0,0
